1 minute Load,.1.3.6.1.4.1.2021.10.1.3.1,Load
5 minute Load,.1.3.6.1.4.1.2021.10.1.3.2,Load
15 minute Load,.1.3.6.1.4.1.2021.10.1.3.3,Load
percentage of user CPU time,.1.3.6.1.4.1.2021.11.9.0,CPU
raw user cpu time,.1.3.6.1.4.1.2021.11.50.0,CPU
percentages of system CPU time,.1.3.6.1.4.1.2021.11.10.0,CPU
raw system cpu time,.1.3.6.1.4.1.2021.11.52.0,CPU
percentages of idle CPU time,.1.3.6.1.4.1.2021.11.11.0,CPU
raw idle cpu time,.1.3.6.1.4.1.2021.11.53.0,CPU
raw nice cpu time,.1.3.6.1.4.1.2021.11.51.0,CPU
